Index,Corners,Circularity,H0,H1,H2,H3,H4,H5,H6
circle,7.991263440860215,0.8692202360943433,-0.7972868038133389,-4.585916323573498,-6.753831619283602,-9.991693654764472,-18.669787025635085,-12.593163563092066,-18.653566405942595
square,4.0,0.7295466412373315,-0.7789642721794228,-4.242726507542483,-5.490369850485625,-7.421047239129811,-14.17452124943041,-9.856696900748725,-14.182590554402893
triangle,3.010752688172043,0.5931570886463915,-0.7212484901855564,-3.8116358993516264,-2.402967840022752,-5.376786453034869,-9.539520520662123,-7.564125326851496,-9.563818277374232
